Name,Rating,SkillsMoves,WeakFoot,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Speed,Phyiscality/Positioning,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Mateo Kovacic,83,4,4,75,69,83,87,69,70,453,2169,CM,H\H,Chelsea,Croatia,Premier League,6285
Thorgan Hazard,83,4,4,84,77,81,85,52,67,446,2146,LM,H\H,Dortmund,Belgium,Bundesliga,2955
Gareth Bale,83,4,3,88,84,82,80,58,73,465,2247,RW,M\M,Spurs,Wales,Premier League,87963
Achraf Hakimi,83,3,2,94,70,76,82,72,76,470,2155,RM,H\M,Inter,Morocco,Serie A TIM,5995
Martin Ødegaard,83,5,2,78,75,84,84,58,63,442,2113,CAM,M\M,Real Madrid,Norway,LaLiga Santander,2909
Wilfried Zaha,83,5,3,90,75,72,87,34,75,433,1974,LM,M\M,Crystal Palace,Côte d'Ivoire,Premier League,30459
Coutinho,83,5,4,72,79,82,88,52,59,432,2132,CAM,M\M,FC Barcelona,Brazil,LaLiga Santander,9054
Ousmane Dembélé,83,5,5,92,77,77,86,36,56,424,2020,LW,H\M,FC Barcelona,France,LaLiga Santander,72408
Rafa,83,4,3,94,73,74,87,50,52,430,2032,LM,H\M,SL Benfica,Portugal,Liga NOS (POR 1),2795
João Moutinho,83,3,4,56,75,86,83,72,66,438,2200,CM,H\H,Wolves,Portugal,Premier League,2055
Dušan Tadic,83,4,3,66,80,84,84,41,73,428,2098,CF,M\M,Ajax,Serbia,Eredivisie (NED 1),1029
Radja Nainggolan,83,3,3,71,80,80,83,83,81,478,2299,CAM,H\H,Inter,Belgium,Serie A TIM,18450
Marcel Sabitzer,83,3,4,80,83,80,80,65,78,466,2224,CM,H\H,RB Leipzig,Austria,Bundesliga,4604
Carlos Vela,83,4,2,80,82,78,84,31,67,422,2035,RW,H\L,LAFC,Mexico,Major League Soccer (MLS),2323
Blaise Matuidi,83,2,2,75,66,75,78,82,79,455,2183,CDM,M\H,Inter Miami CF,France,Major League Soccer (MLS),3905
Kevin Trapp,83,1,4,82,78,79,85,48,83,455,897,GK,M\M,Frankfurt,Germany,Bundesliga,1272
Denis Zakaria,83,3,3,83,64,75,78,81,85,466,2095,CDM,M\M,M'gladbach,Switzerland,Bundesliga,23442
Charles Aránguiz,83,3,4,60,72,82,81,78,73,446,2197,CDM,M\M,Leverkusen,Chile,Bundesliga,2448
Renato Augusto,83,4,4,71,79,82,81,72,77,462,2207,CM,H\H,Beijing Guoan,Brazil,Chinese FA Super L. (CHN 1),2657
Jan Vertonghen,83,3,3,59,62,72,71,85,78,427,2077,CB,H\H,SL Benfica,Belgium,Liga NOS (POR 1),2786
Éver Banega,83,4,4,63,74,84,82,76,70,449,2196,CM,H\M,Al Shabab,Argentina,MBS Pro League (SAU 1),2259
Edin Džeko,83,2,5,59,84,71,75,46,73,408,1938,ST,M\M,Roma FC,Bosnia and Herzegovina,Serie A TIM,1304
Yuri Berchiche Izeta,83,3,3,83,68,76,76,80,83,466,2197,LB,H\M,Athletic Club,Spain,LaLiga Santander,3255
Fernando Reges,83,3,3,66,62,74,73,82,82,439,2084,CDM,M\M,Sevilla FC,Brazil,LaLiga Santander,2564
Paulinho,83,4,4,72,82,77,82,80,85,478,2303,CM,H\H,Guangzhou,Brazil,Chinese FA Super L. (CHN 1),5816
Oscar dos Santos Emboaba,83,4,3,78,79,83,82,58,65,445,2159,CAM,H\H,Shanghai SIPG,Brazil,Chinese FA Super L. (CHN 1),2295
Iker Muniain Goñi,83,4,3,81,75,80,87,51,60,434,2086,LW,M\L,Athletic Club,Spain,LaLiga Santander,2033
Lukáš Hrádecký,83,1,3,85,78,69,87,40,83,442,843,GK,M\M,Leverkusen,Finland,Bundesliga,1384
Kostas Manolas,83,2,2,82,25,42,62,85,79,375,1672,CB,L\H,Napoli,Greece,Serie A TIM,15328
Koen Casteels,83,1,2,83,80,80,84,45,83,455,929,GK,M\M,VfL Wolfsburg,Belgium,Bundesliga,1324
Alexandre Lacazette,83,4,4,76,82,75,84,46,75,438,2120,ST,H\H,Arsenal,France,Premier League,10146
Aitor Fernández,83,1,2,84,78,74,86,56,81,459,1006,GK,M\M,Levante UD,Spain,LaLiga Santander,1217
Sergi Roberto Carnicer,83,4,3,77,63,81,78,77,73,449,2104,RB,H\M,FC Barcelona,Spain,LaLiga Santander,2617
Francesco Acerbi,83,3,3,62,50,62,64,86,83,407,1904,CB,M\H,Lazio,Italy,Serie A TIM,3186
Allan Marques Loureiro,83,4,3,73,71,77,83,85,83,472,2216,CM,M\H,Everton,Brazil,Premier League,79767
Cristian Portugues Manzanera,83,3,4,90,79,81,82,59,79,470,2197,RW,H\H,Real Sociedad,Spain,LaLiga Santander,9304
Samuel Umtiti,83,2,3,66,62,69,69,83,79,428,2077,CB,M\M,FC Barcelona,France,LaLiga Santander,3555
Edin Višća,83,4,4,88,77,79,82,47,64,437,2100,RM,H\M,Başakşehir,Bosnia and Herzegovina,Süper Lig (TUR 1),2357
Gerard Moreno Balagueró,83,3,4,76,84,76,80,46,73,435,2089,ST,H\M,Villarreal CF,Spain,LaLiga Santander,2496
Filip Kostić,83,3,2,88,76,79,83,68,80,474,2228,LM,H\H,Frankfurt,Serbia,Bundesliga,2014
José Luís Gayà Peña,83,4,3,84,61,78,80,79,70,452,2117,LB,H\M,Valencia CF,Spain,LaLiga Santander,2595
Thomas Strakosha,83,1,2,86,79,75,88,43,81,452,876,GK,M\M,Lazio,Albania,Serie A TIM,1252
Duván Zapata,83,3,4,75,81,59,78,37,83,413,1924,ST,H\M,Atalanta,Colombia,Serie A TIM,1943
Nabil Fekir,83,4,4,79,82,81,87,38,79,446,2133,CAM,H\M,Real Betis,France,LaLiga Santander,9388
Diego Carlos Santos Silva,83,3,4,77,47,63,68,82,83,420,1961,CB,M\H,Sevilla FC,Brazil,LaLiga Santander,53444
Martin Dúbravka,83,1,2,79,80,81,86,47,82,455,997,GK,M\M,Newcastle Utd,Slovakia,Premier League,1535
Pau López Sabata,83,1,3,82,83,79,84,48,82,458,1016,GK,M\M,Roma FC,Spain,Serie A TIM,1600
Donny van de Beek,83,3,3,70,80,78,79,72,80,459,2205,CM,H\M,Manchester Utd,Netherlands,Premier League,15842
Gonzalo Higuaín,83,3,4,65,85,71,80,31,69,401,1952,ST,H\M,Inter Miami CF,Argentina,Major League Soccer (MLS),1955
Arturo Vidal,83,3,4,65,79,79,78,83,86,470,2305,CM,H\H,Inter,Chile,Serie A TIM,3386
Nélson Semedo,83,4,3,92,57,69,82,77,76,453,2077,RB,M\H,Wolves,Portugal,Premier League,36756
Marcos Acuña,83,4,3,76,74,82,86,78,82,478,2305,LB,H\H,Sevilla FC,Argentina,LaLiga Santander,2505
Dimitri Payet,82,4,4,70,79,84,85,39,67,424,2061,LW,H\L,OM,France,Ligue 1 Conforama,1150
Giovani Lo Celso,82,4,3,77,77,82,85,65,73,459,2197,CM,H\H,Spurs,Argentina,Premier League,2863
Marco Asensio,82,4,3,79,80,81,83,43,61,427,2055,LW,H\M,Real Madrid,Spain,LaLiga Santander,1129
Emre Can,82,3,4,74,78,79,80,83,87,481,2291,CM,M\H,Dortmund,Germany,Bundesliga,7293
Marcos Llorente,82,3,3,84,74,79,81,78,82,478,2221,CM,H\H,Atlético de Madrid,Spain,LaLiga Santander,20332
Yannick Carrasco,82,4,4,91,81,75,84,36,65,432,2044,LM,H\L,Atlético de Madrid,Belgium,LaLiga Santander,5955
Quincy Promes,82,5,4,89,80,79,82,46,71,447,2136,CAM,H\M,Ajax,Netherlands,Eredivisie (NED 1),3114
Mesut Özil,82,4,2,64,69,85,83,24,55,380,1879,CAM,M\L,Arsenal,Germany,Premier League,1174
Daley Blind,82,3,3,54,65,81,78,83,73,434,2146,CB,H\M,Ajax,Netherlands,Eredivisie (NED 1),2500
James Rodríguez,82,4,2,53,86,85,86,50,63,423,2122,CAM,M\M,Everton,Colombia,Premier League,3835
