Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Rodrigo,85,3,4,67,68,77,78,82,80,452,2137,CDM,M\H,Manchester City,Spain,Premier League,30421
Sergej Milinkovic-Savic,85,4,4,67,79,80,82,77,84,469,2235,CM,H\M,Lazio,Serbia,Serie A TIM,11332
Hakim Ziyech,85,5,2,80,75,86,83,50,66,440,2117,CAM,H\M,Ajax,Morocco,Eredivisie,6342
Matthijs de Ligt,85,2,4,67,58,66,69,83,84,427,1988,CB,M\H,Piemonte Calcio,Netherlands,Serie A TIM,30384
Frenkie de Jong,85,4,3,79,64,84,88,76,76,467,2216,CM,M\H,FC Barcelona,Netherlands,LaLiga Santander,85711
Alejandro Gómez,85,4,4,89,78,81,86,39,55,428,2073,CAM,H\M,Atalanta,Argentina,Serie A TIM,26226
Zlatan Ibrahimovic,85,5,4,56,88,77,78,34,78,411,2040,ST,M\L,LA Galaxy,Sweden,Major League Soccer,5810
Gareth Bale,85,4,3,91,87,82,82,58,76,476,2280,RW,M\M,Real Madrid,Wales,LaLiga Santander,176390
Lopes,85,1,2,87,80,75,89,63,84,478,1046,GK,M\M,Olympique Lyonnais,Portugal,Ligue 1 Conforama,5494
Clément Lenglet,85,2,4,75,45,68,66,86,80,420,1968,CB,M\H,FC Barcelona,France,LaLiga Santander,63417
Gonzalo Higuaín,85,3,4,63,85,71,80,31,71,401,1962,ST,H\M,Piemonte Calcio,Argentina,Serie A TIM,7500
Péter Gulácsi,85,1,2,84,86,81,86,43,84,464,926,GK,M\M,RB Leipzig,Hungary,Bundesliga,8013
Roman Bürki,85,1,2,86,80,74,89,48,83,460,941,GK,M\M,Borussia Dortmund,Switzerland,Bundesliga,7606
Iago Aspas,85,3,3,78,84,77,85,35,64,423,2073,ST,H\H,RC Celta,Spain,LaLiga Santander,6703
Neto,85,1,2,86,81,79,82,54,82,464,998,GK,M\M,FC Barcelona,Brazil,LaLiga Santander,14556
Mauro Icardi,85,3,4,75,84,61,77,36,69,402,1952,ST,M\L,Paris Saint-Germain,Argentina,Ligue 1 Conforama,8458
João Cancelo,84,4,3,90,65,80,84,78,71,468,2220,RB,H\M,Manchester City,Portugal,Premier League,51132
Riyad Mahrez,84,5,4,84,78,79,89,38,59,427,2050,RW,M\M,Manchester City,Algeria,Premier League,19091
Kyle Walker,84,2,2,91,63,76,77,81,81,469,2203,RB,H\H,Manchester City,England,Premier League,67500
Jadon Sancho,84,5,4,88,72,77,90,36,60,423,1963,RM,M\L,Borussia Dortmund,England,Bundesliga,32997
João Moutinho,84,3,4,56,75,85,82,71,67,436,2188,CM,H\H,Wolverhampton Wanderers,Portugal,Premier League,2810
Salvatore Sirigu,84,1,2,84,80,76,82,50,84,456,916,GK,M\M,Torino,Italy,Serie A TIM,2923
Sokratis,84,2,2,72,51,52,61,84,83,403,1851,CB,M\H,Arsenal,Greece,Premier League,8673
Lucas Leiva,84,3,3,62,66,76,78,83,73,438,2140,CDM,M\H,Lazio,Brazil,Serie A TIM,3032
Mesut Özil,84,4,2,70,72,86,84,24,56,392,1918,CAM,M\L,Arsenal,Germany,Premier League,4642
Edin Džeko,84,2,5,60,84,71,75,46,73,409,1942,ST,M\M,Roma,Bosnia and Herzegovina,Serie A TIM,2677
Arturo Vidal,84,3,4,67,79,80,79,85,86,476,2330,CM,H\H,FC Barcelona,Chile,LaLiga Santander,13186
Ilkay Gündogan,84,4,4,66,74,84,84,72,71,451,2196,CM,H\M,Manchester City,Germany,Premier League,6519
Memphis Depay,84,5,3,87,80,81,83,32,78,441,2110,CF,H\L,Olympique Lyonnais,Netherlands,Ligue 1 Conforama,18205
Edin Višca,84,4,4,88,79,79,84,47,64,441,2100,RM,H\M,Medipol Başakşehir FK,Bosnia and Herzegovina,Süper Lig,2855
Kepa Arrizabalaga,84,1,4,84,82,86,85,34,80,451,960,GK,M\M,Chelsea,Spain,Premier League,8516
Felipe,84,2,3,64,41,57,61,84,87,394,1819,CB,M\H,Atlético Madrid,Brazil,LaLiga Santander,4019
Alex Telles,84,3,2,85,72,84,81,80,76,478,2298,LB,H\H,FC Porto,Brazil,Liga NOS,8997
Kingsley Coman,84,4,3,92,76,77,86,29,60,420,2007,LM,M\L,FC Bayern München,France,Bundesliga,22542
Nabil Fekir,84,4,3,78,82,81,88,33,77,439,2101,CAM,H\M,Real Betis,France,LaLiga Santander,16886
Lucas Hernández,84,2,3,81,54,70,71,83,82,441,2051,CB,H\H,FC Bayern München,France,Bundesliga,53101
Arthur,84,4,3,69,71,81,86,73,70,450,2165,CM,M\M,FC Barcelona,Brazil,LaLiga Santander,5613
Ousmane Dembélé,84,5,5,93,79,80,87,36,57,432,2046,RW,H\M,FC Barcelona,France,LaLiga Santander,60211
Mario Mandžukic,84,3,3,68,80,71,76,65,86,446,2139,ST,H\H,Piemonte Calcio,Croatia,Serie A TIM,2984
Pepe,84,2,3,67,51,57,61,85,85,406,1892,CB,M\H,FC Porto,Portugal,Liga NOS,3471
Stéphane Ruffier,84,1,3,82,84,75,82,47,85,455,946,GK,M\M,AS Saint-Étienne,France,Ligue 1 Conforama,3229
Marek Hamšik,84,3,5,69,77,83,83,72,69,453,2203,CM,H\M,Dalian Yifang FC,Slovakia,CSL,2157
Javi Martinez,84,2,3,48,55,69,64,86,83,405,1970,CDM,L\M,FC Bayern München,Spain,Bundesliga,5204
Yann Sommer,84,1,4,79,85,81,87,50,80,462,988,GK,M\M,Borussia Mönchengladbach,Switzerland,Bundesliga,2826
Georginio Wijnaldum,84,4,3,77,73,78,85,76,78,467,2250,CM,H\H,Liverpool,Netherlands,Premier League,30308
Ivan Perišic,84,4,5,84,80,78,82,62,77,463,2218,LM,M\M,FC Bayern München,Croatia,Bundesliga,12294
Jérôme Boateng,84,2,4,66,50,72,66,84,82,420,1971,CB,M\M,FC Bayern München,Germany,Bundesliga,7906
Azpilicueta,84,2,3,70,55,77,73,85,76,436,2123,RB,M\M,Chelsea,Spain,Premier League,9919
José Callejón,84,3,3,89,78,75,83,47,64,436,2072,RM,H\H,Napoli,Spain,Serie A TIM,5110
Paulinho,84,4,4,72,81,77,80,78,85,473,2273,CM,H\H,Guangzhou Evergrande Taobao,Brazil,CSL,6883
Serge Gnabry,84,4,4,90,82,75,85,43,69,444,2083,RM,H\M,FC Bayern München,Germany,Bundesliga,32473
Leon Goretzka,84,3,4,81,77,80,81,75,79,473,2246,CM,H\M,FC Bayern München,Germany,Bundesliga,37353
Dele Alli,84,4,3,72,81,79,82,71,79,464,2238,CAM,H\H,Tottenham Hotspur,England,Premier League,20418
Julian Brandt,84,4,4,82,78,81,85,40,68,434,2036,CAM,M\M,Borussia Dortmund,Germany,Bundesliga,23648
Kai Havertz,84,4,4,84,78,79,84,44,65,434,2057,CAM,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,27969
Jirí Pavlenka,84,1,3,86,79,70,88,36,80,439,741,GK,M\M,SV Werder Bremen,Czech Republic,Bundesliga,3074
Douglas Costa,84,5,3,94,73,79,91,43,61,441,2103,LM,H\M,Piemonte Calcio,Brazil,Serie A TIM,25809
Bernd Leno,84,1,3,83,81,78,85,55,84,466,994,GK,M\M,Arsenal,Germany,Premier League,8780
Pizzi,84,3,4,77,77,84,81,63,68,450,2187,RM,H\M,SL Benfica,Portugal,Liga NOS,2774
Stefan de Vrij,84,2,4,66,41,62,68,86,74,397,1838,CB,M\H,Inter,Netherlands,Serie A TIM,4019
Dušan Tadic,84,4,3,68,80,84,85,41,71,429,2102,CAM,M\M,Ajax,Serbia,Eredivisie,2200
Felipe Anderson,84,4,4,89,77,79,88,55,61,449,2102,LM,H\M,West Ham United,Brazil,Premier League,41282
Canales,84,4,3,78,79,83,81,51,66,438,2057,CAM,H\M,Real Betis,Spain,LaLiga Santander,3797
Luis Alberto,84,4,3,71,76,84,85,49,59,424,2023,CAM,M\M,Lazio,Spain,Serie A TIM,3035
Josip Ilicic,84,4,4,70,84,84,84,43,67,432,2058,CF,M\M,Atalanta,Slovenia,Serie A TIM,2673
Luiz Frello Filho Jorge,83,3,3,55,63,84,81,70,73,426,2117,CM,M\M,Chelsea,Italy,Premier League,2224
Davinson Sánchez,83,2,3,74,45,57,67,83,81,407,1827,CB,M\H,Tottenham Hotspur,Colombia,Premier League,37250
Julian Draxler,83,4,5,77,79,81,86,55,63,441,2129,CAM,M\M,Paris Saint-Germain,Germany,Ligue 1 Conforama,3226
Luka Jovic,83,3,5,77,82,68,81,29,74,411,1965,ST,M\M,Real Madrid,Serbia,LaLiga Santander,5614
Nicolas Pépé,83,4,3,91,81,75,85,33,67,432,2050,RM,H\L,Arsenal,Côte d'Ivoire,Premier League,69015
Vincent Kompany,83,2,3,50,53,65,64,84,79,395,1891,CB,M\H,RSC Anderlecht,Belgium,Belgium Pro League,2697
Raúl Albiol,83,2,3,48,41,61,64,86,72,372,1781,CB,L\H,Villarreal CF,Spain,LaLiga Santander,1966
Fabio Quagliarella,83,4,4,69,89,75,80,30,65,408,2012,ST,M\M,Sampdoria,Italy,Serie A TIM,1865
Carlos Vela,83,4,2,80,82,78,84,31,67,422,2035,RW,H\L,Los Angeles Football Club,Mexico,Major League Soccer,2994
Max Kruse,83,4,4,66,83,83,83,45,70,430,2103,CF,H\M,Fenerbahçe SK,Germany,Süper Lig,1547
Jordan Henderson,83,3,3,64,70,83,77,78,80,452,2202,CDM,H\H,Liverpool,England,Premier League,2152
Idrissa Gueye,83,3,3,73,59,70,78,85,78,443,2107,CDM,M\H,Paris Saint-Germain,Senegal,Ligue 1 Conforama,6642
Kevin Kampl,83,3,4,76,67,80,85,63,62,433,2107,CM,H\H,RB Leipzig,Slovenia,Bundesliga,2017
Pablo Sarabia,83,4,4,75,76,82,84,57,57,431,2052,CAM,H\M,Paris Saint-Germain,Spain,Ligue 1 Conforama,2861
Lucas,83,4,4,92,79,76,87,42,66,442,2128,CF,H\M,Tottenham Hotspur,Brazil,Premier League,47128
John Stones,83,3,4,68,36,70,72,84,77,407,1887,CB,H\M,Manchester City,England,Premier League,3453
Sébastien Haller,83,3,2,72,81,62,76,51,82,424,2010,ST,H\M,West Ham United,France,Premier League,4134
Grimaldo,83,3,2,85,63,79,84,77,71,459,2204,LB,H\M,SL Benfica,Spain,Liga NOS,3945
Anthony Martial,83,4,3,89,81,72,85,41,71,439,2070,LW,M\L,Manchester United,France,Premier League,58794
Marco Asensio,83,4,3,81,80,82,84,43,62,432,2073,LW,H\M,Real Madrid,Spain,LaLiga Santander,3813
Sami Khedira,83,2,4,51,74,78,78,80,80,441,2132,CM,M\H,Piemonte Calcio,Germany,Serie A TIM,1973
David Luiz,83,3,3,61,65,74,71,82,77,430,2103,CB,M\M,Arsenal,Brazil,Premier League,4732
Aaron Ramsey,83,3,3,68,77,79,80,68,74,446,2163,CM,H\H,Piemonte Calcio,Wales,Serie A TIM,2226
Juan Cuadrado,83,5,3,91,72,77,87,66,67,460,2190,RM,H\M,Piemonte Calcio,Colombia,Serie A TIM,8045
Danilo Pereira,83,3,3,65,63,72,74,82,85,441,2045,CDM,M\H,FC Porto,Portugal,Liga NOS,1750
Adrien Rabiot,83,3,3,73,74,79,81,77,80,464,2214,CM,H\M,Piemonte Calcio,France,Serie A TIM,7818
Andrés Iniesta Luján,83,4,4,64,70,86,87,62,60,429,2091,CM,H\M,Vissel Kobe,Spain,Meiji Yasuda J1 League,1761
Gianluigi Buffon,83,1,2,78,77,74,80,34,91,434,966,GK,M\M,Piemonte Calcio,Italy,Serie A TIM,1616
Rune Almenning Jarstein,83,1,4,79,82,76,84,42,86,449,875,GK,M\M,Hertha BSC,Norway,Bundesliga,1758
Kasper Schmeichel,83,1,3,82,77,79,88,58,79,463,1029,GK,M\M,Leicester City,Denmark,Premier League,4503
Rui Patrício,83,1,2,84,80,77,82,55,81,459,1028,GK,M\M,Wolverhampton Wanderers,Portugal,Premier League,4165
Radja Nainggolan,83,3,3,72,79,78,83,83,82,477,2292,CAM,H\H,Cagliari,Belgium,Serie A TIM,18919
Éver Banega,83,4,4,61,73,84,82,77,70,447,2191,CDM,H\M,Sevilla FC,Argentina,LaLiga Santander,1645
Diego Costa,83,2,4,73,82,64,76,49,85,429,2008,ST,H\M,Atlético Madrid,Spain,LaLiga Santander,1690
Gylfi Sigurðsson,83,3,4,56,81,84,81,57,69,428,2119,CAM,H\H,Everton,Iceland,Premier League,1635
Oscar,83,4,3,74,76,83,81,55,50,419,2057,CAM,H\M,Shanghai SIPG FC,Brazil,CSL,2493
Kevin Trapp,83,1,4,82,77,79,85,48,83,454,896,GK,M\M,Eintracht Frankfurt,Germany,Bundesliga,1971
Illarramendi,83,3,3,54,71,80,79,80,71,435,2107,CDM,M\H,Real Sociedad,Spain,LaLiga Santander,1685
Daley Blind,83,3,3,54,65,80,77,82,74,432,2130,CDM,M\M,Ajax,Netherlands,Eredivisie,2280
Lukáš Hrádecký,83,1,3,85,79,69,86,40,82,441,816,GK,M\M,Bayer 04 Leverkusen,Finland,Bundesliga,1871
Nicolás Otamendi,83,2,3,56,57,63,61,83,78,398,1916,CB,M\H,Manchester City,Argentina,Premier League,2303
Koen Casteels,83,1,2,83,79,79,83,45,82,451,928,GK,M\M,VfL Wolfsburg,Belgium,Bundesliga,1916
Marc Bartra,83,3,3,73,61,73,73,82,74,436,2074,CB,H\M,Real Betis,Spain,LaLiga Santander,3147
Rodrigo,83,4,3,90,80,74,81,44,70,439,2091,ST,H\M,Valencia CF,Spain,LaLiga Santander,15019
Wilfried Zaha,83,5,3,91,76,72,87,27,74,427,1953,CF,H\L,Crystal Palace,Côte d'Ivoire,Premier League,33486
Charles Aránguiz,83,3,4,63,72,82,81,74,73,445,2193,CM,M\M,Bayer 04 Leverkusen,Chile,Bundesliga,2081
Wissam Ben Yedder,83,4,5,84,82,77,85,39,61,428,2097,ST,H\H,AS Monaco Football Club SA,France,Ligue 1 Conforama,41879
Francesco Acerbi,83,3,3,56,50,61,64,86,82,399,1882,CB,M\M,Lazio,Italy,Serie A TIM,2134
Jasper Cillessen,83,1,3,82,83,78,83,52,81,459,985,GK,M\M,Valencia CF,Netherlands,LaLiga Santander,3816
Paco Alcácer,83,3,4,79,84,68,81,36,63,411,2018,ST,M\L,Borussia Dortmund,Spain,Bundesliga,4377
Lucas Digne,83,3,3,78,69,79,79,80,76,461,2242,LB,H\M,Everton,France,Premier League,6881
Morata,83,3,4,81,79,71,79,31,72,413,1941,ST,H\H,Atlético Madrid,Spain,LaLiga Santander,1861
Jordan Pickford,83,1,4,82,78,87,86,49,82,464,1149,GK,M\M,Everton,England,Premier League,4490
Florian Thauvin,83,4,3,83,80,81,83,41,69,437,2114,RW,H\M,Olympique de Marseille,France,Ligue 1 Conforama,4557
Arkadiusz Milik,83,4,3,69,85,64,76,39,74,407,1980,ST,M\M,Napoli,Poland,Serie A TIM,2103
William Carvalho,83,3,4,42,57,77,74,79,85,414,1997,CDM,M\M,Real Betis,Portugal,LaLiga Santander,1797
Yannick Carrasco,83,4,4,90,80,75,86,39,64,434,2047,LM,H\M,Dalian Yifang FC,Belgium,CSL,2293
Alessio Romagnoli,83,2,3,63,40,55,67,85,79,389,1779,CB,M\H,Milan,Italy,Serie A TIM,2445
Timo Werner,83,3,4,92,81,67,82,35,69,426,2000,ST,H\M,RB Leipzig,Germany,Bundesliga,51523
Federico Bernardeschi,83,5,3,81,75,81,87,60,66,450,2140,RM,H\M,Piemonte Calcio,Italy,Serie A TIM,2239
Anderson Talisca,83,4,4,77,82,80,81,57,72,449,2159,CAM,H\L,Guangzhou Evergrande Taobao,Brazil,CSL,3293
Jonathan Tah,83,2,4,71,27,59,58,83,81,379,1696,CB,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,6713
Thomas Lemar,83,4,2,83,76,82,85,59,67,452,2185,LM,M\M,Atlético Madrid,France,LaLiga Santander,4407
Andrej Kramaric,83,4,4,73,85,73,85,30,71,417,2051,ST,M\M,TSG 1899 Hoffenheim,Croatia,Bundesliga,1845
Dakonam Djené,83,2,4,72,37,61,62,83,79,394,1865,CB,M\H,Getafe CF,Togo,LaLiga Santander,2365
Corentin Tolisso,83,3,3,69,77,79,78,76,79,458,2215,CM,H\M,FC Bayern München,France,Bundesliga,5364
Borja Iglesias,83,3,3,67,83,63,77,35,82,407,1904,ST,H\M,Real Betis,Spain,LaLiga Santander,1835
