Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Paul Pogba,87,5,4,74,79,84,84,68,88,477,2303,CM,H\M,Manchester United,France,Premier League,390857
Marco Verratti,87,3,4,65,59,84,89,79,68,444,2181,CM,H\H,Paris Saint-Germain,Italy,Ligue 1 Conforama,13250
N'Golo Kanté,87,3,3,81,66,75,80,81,84,467,2184,CDM,M\H,Chelsea,France,Premier League,165286
Petr Čech,86,1,3,82,87,76,81,40,83,449,867,GK,M\M,Arsenal,Czech Republic,Premier League,23214
Pepe,86,2,3,68,50,57,61,86,80,402,1869,CB,M\H,Beşiktaş JK,Portugal,Süper Lig,7143
Franck Ribéry,86,5,4,82,76,83,89,25,58,413,2004,LM,H\M,FC Bayern München,France,Bundesliga,20536
Cesc Fàbregas,86,3,3,63,77,88,81,60,64,433,2156,CM,H\M,Chelsea,Spain,Premier League,23536
Karim Benzema,86,4,4,78,84,77,82,22,74,417,1991,ST,M\L,Real Madrid,France,LaLiga Santander,39464
Miranda,86,2,3,71,49,60,68,88,77,413,1921,CB,M\M,Inter,Brazil,Calcio A,11979
Sokratis Papastathopoulos,86,2,3,78,52,55,61,87,84,417,1931,CB,M\H,Borussia Dortmund,Greece,Bundesliga,27750
Dries Mertens,86,4,4,90,82,79,89,36,55,431,2077,CF,H\L,Napoli,Belgium,Calcio A,107000
Javi Martinez,86,2,3,50,60,69,66,86,80,411,2011,CB,M\M,FC Bayern München,Spain,Bundesliga,17477
Radja Nainggolan,86,3,3,78,80,78,82,81,83,482,2316,CM,H\H,Roma,Belgium,Calcio A,148286
Diego Costa,86,3,4,75,83,65,76,40,88,427,2013,ST,H\M,Chelsea,Spain,Premier League,28393
David Luiz,86,3,3,70,64,74,71,84,81,444,2147,CB,M\M,Chelsea,Brazil,Premier League,71071
Toby Alderweireld,86,2,3,66,58,72,66,87,80,429,2062,CB,M\M,Tottenham Hotspur,Belgium,Premier League,26607
Marco Reus,86,4,4,88,87,84,85,39,64,447,2179,LM,M\M,Borussia Dortmund,Germany,Bundesliga,102286
Coutinho,86,4,4,82,78,83,88,35,64,430,2086,LW,H\H,Liverpool,Brazil,Premier League,34286
Sergio Busquets,86,3,3,40,59,79,74,82,81,415,2038,CDM,M\M,FC Barcelona,Spain,LaLiga Santander,24964
Thomas Müller,86,3,4,77,82,77,78,46,71,431,2109,CF,H\H,FC Bayern München,Germany,Bundesliga,27714
Alex Sandro,86,3,3,86,65,77,81,81,84,474,2249,LB,H\H,Juventus,Brazil,Calcio A,62000
Romelu Lukaku,86,3,4,83,85,70,74,34,84,430,2027,ST,M\M,Manchester United,Belgium,Premier League,212571
David Alaba,86,3,4,86,73,81,80,82,74,476,2307,LB,H\M,FC Bayern München,Austria,Bundesliga,73929
Isco,86,4,3,71,83,82,89,54,62,441,2140,CM,H\M,Real Madrid,Spain,LaLiga Santander,40536
James Rodríguez,86,4,3,76,85,85,83,40,68,437,2141,CAM,M\L,FC Bayern München,Colombia,Bundesliga,79929
Harry Kane,86,3,4,71,87,72,79,42,83,434,2087,ST,H\H,Tottenham Hotspur,England,Premier League,49571
Andrea Barzagli,85,2,3,71,34,57,65,88,73,388,1816,CB,L\H,Juventus,Italy,Calcio A,8000
Vincent Kompany,85,2,3,63,54,65,65,84,83,414,1956,CB,M\M,Manchester City,Belgium,Premier League,25750
Filipe Luís,85,3,3,79,62,77,78,82,79,457,2173,LB,H\M,Atlético Madrid,Brazil,LaLiga Santander,14500
Stéphane Ruffier,85,1,3,82,84,77,87,45,85,460,899,GK,M\M,AS Saint-Étienne,France,Ligue 1 Conforama,6800
Blaise Matuidi,85,2,2,78,67,77,76,82,84,464,2206,CDM,H\H,Juventus,France,Calcio A,40000
Jan Vertonghen,85,2,3,67,65,72,70,85,81,440,2116,CB,H\H,Tottenham Hotspur,Belgium,Premier League,30500
Claudio Marchisio,85,4,4,78,72,83,84,76,74,467,2277,CM,H\H,Juventus,Italy,Calcio A,40000
Miralem Pjanić,85,4,4,74,70,86,86,67,69,452,2214,CM,M\M,Juventus,Bosnia and Herzegovina,Calcio A,49500
Ángel Di María,85,5,2,86,77,82,85,47,68,445,2146,RW,H\M,Paris Saint-Germain,Argentina,Ligue 1 Conforama,26750
Azpilicueta,85,3,3,79,55,74,74,86,78,446,2134,CB,M\M,Chelsea,Spain,Premier League,66500
İlkay Gündoğan,85,4,4,71,74,83,87,64,71,450,2186,CM,H\M,Manchester City,Germany,Premier League,28000
Jordi Alba,85,3,3,93,69,75,82,81,72,472,2221,LB,H\M,FC Barcelona,Spain,LaLiga Santander,38000
Kamil Glik,85,2,2,56,32,44,55,86,84,357,1644,CB,L\M,AS Monaco Football Club SA,Poland,Ligue 1 Conforama,3800
Marc-André ter Stegen,85,1,4,84,83,87,86,38,81,459,915,GK,M\M,FC Barcelona,Germany,LaLiga Santander,10750
Bernd Leno,85,1,4,85,84,74,83,46,85,457,898,GK,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,6400
Danijel Subašić,85,1,2,84,79,79,87,51,85,465,956,GK,M\M,AS Monaco Football Club SA,Croatia,Ligue 1 Conforama,4800
Henrikh Mkhitaryan,85,4,5,86,79,80,86,54,70,455,2185,RM,H\H,Manchester United,Armenia,Premier League,27000
Keylor Navas,85,1,3,87,82,72,85,54,80,460,944,GK,M\M,Real Madrid,Costa Rica,LaLiga Santander,7000
Alexandre Lacazette,85,4,3,86,83,71,85,38,77,440,2112,ST,H\M,Arsenal,France,Premier League,179000
Lorenzo Insigne,85,4,3,90,74,82,89,25,50,410,1982,LW,H\M,Napoli,Italy,Calcio A,20500
Casemiro,85,2,3,62,68,74,72,84,86,446,2157,CDM,M\H,Real Madrid,Brazil,LaLiga Santander,32750
Raphaël Varane,85,2,3,79,45,61,65,84,79,413,1907,CB,M\H,Real Madrid,France,LaLiga Santander,39750
Yannick Carrasco,85,4,4,88,79,78,87,29,63,424,2017,LM,H\M,Atlético Madrid,Belgium,LaLiga Santander,21000
Aduriz,84,3,3,70,83,64,76,46,79,418,2017,ST,H\M,Athletic Club,Spain,LaLiga Santander,1900
Alejandro Gómez,84,4,4,90,77,80,88,31,58,424,2051,CF,H\M,Atalanta,Argentina,Calcio A,23750
Dani Alves,84,3,3,82,68,81,84,77,66,458,2252,RB,H\L,Paris Saint-Germain,Brazil,Ligue 1 Conforama,7000
Gary Cahill,84,2,3,63,58,52,62,84,78,397,1871,CB,M\M,Chelsea,England,Premier League,5000
Laurent Koscielny,84,2,3,75,41,62,66,85,78,407,1890,CB,M\H,Arsenal,France,Premier League,18250
Falcao,84,3,4,69,84,68,79,36,74,410,2054,ST,H\M,AS Monaco Football Club SA,Colombia,Ligue 1 Conforama,1700
Dimitri Payet,84,4,4,75,78,86,87,37,70,433,2101,LW,H\L,Olympique de Marseille,France,Ligue 1 Conforama,3200
Medhi Benatia,84,2,3,74,42,54,65,85,82,402,1805,CB,M\H,Juventus,Morocco,Calcio A,6800
Juan Mata,84,3,3,67,76,84,84,32,54,397,2021,CAM,M\M,Manchester United,Spain,Premier League,9500
Sergio Asenjo,84,1,3,86,83,76,85,59,82,471,968,GK,M\M,Villarreal CF,Spain,LaLiga Santander,2200
Ralf Fährmann,84,1,2,83,86,52,87,38,85,431,858,GK,M\M,FC Schalke 04,Germany,Bundesliga,2900
Sami Khedira,84,2,4,64,74,80,76,80,84,458,2193,CM,H\H,Juventus,Germany,Calcio A,7600
Willian,84,4,4,88,76,81,86,49,64,444,2081,RW,H\H,Chelsea,Brazil,Premier League,25000
Edin Džeko,84,2,4,64,83,70,74,32,72,395,1877,ST,M\M,Roma,Bosnia and Herzegovina,Calcio A,1800
Ivan Perišić,84,4,5,84,80,78,81,42,75,440,2120,LM,H\M,Inter,Croatia,Calcio A,3200
Roman Bürki,84,1,2,84,82,73,85,44,80,448,911,GK,M\M,Borussia Dortmund,Switzerland,Bundesliga,1800
Pedro,84,4,5,82,77,77,84,37,62,419,2013,RW,H\M,Chelsea,Spain,Premier League,4500
Kevin Strootman,84,3,3,67,74,82,78,78,82,461,2207,CM,H\H,Roma,Holland,Calcio A,5400
Ander Herrera,84,3,4,73,72,81,83,78,77,464,2244,CM,H\H,Manchester United,Spain,Premier League,19000
Shkodran Mustafi,84,2,3,67,57,63,63,83,79,412,1965,CB,M\H,Arsenal,Germany,Premier League,5000
Kostas Manolas,84,2,2,80,19,42,61,86,83,371,1664,CB,L\H,Roma,Greece,Calcio A,15000
Koke,84,3,4,70,75,86,81,63,75,450,2150,CM,H\H,Atlético Madrid,Spain,LaLiga Santander,7700
Timo Horn,84,1,4,83,81,83,86,45,82,460,865,GK,M\M,1. FC Köln,Germany,Bundesliga,1900
Kalidou Koulibaly,84,2,2,73,26,43,57,85,86,370,1645,CB,H\H,Napoli,Senegal,Calcio A,10750
Morata,84,3,4,82,80,71,80,23,73,409,1919,ST,H\H,Chelsea,Spain,Premier League,44000
Mauro Icardi,84,3,4,78,83,61,76,26,70,394,1905,ST,M\L,Inter,Argentina,Calcio A,2600
Julian Draxler,84,4,5,78,80,82,86,34,64,424,2048,LW,M\L,Paris Saint-Germain,Germany,Ligue 1 Conforama,3000
Carvajal,84,2,3,82,45,73,79,82,78,439,2048,RB,H\M,Real Madrid,Spain,LaLiga Santander,7000
Sadio Mané,84,4,3,93,78,74,85,36,75,441,2068,LW,H\M,Liverpool,Senegal,Premier League,130000
Dele Alli,84,4,3,76,80,77,82,64,78,457,2167,CAM,H\M,Tottenham Hotspur,England,Premier League,45000
Aymeric Laporte,84,2,2,69,50,66,62,86,78,411,1948,CB,M\M,Athletic Club,France,LaLiga Santander,5800
Bernardo Silva,84,4,3,81,72,81,89,45,61,429,2042,RM,M\M,Manchester City,Portugal,Premier League,3800
Marco Asensio,84,4,3,78,79,83,83,39,61,423,2020,CAM,M\M,Real Madrid,Spain,LaLiga Santander,15500
Eric Bailly,84,2,3,78,42,59,66,84,84,413,1909,CB,M\H,Manchester United,Côte d'Ivoire,Premier League,42500
Casillas,83,1,2,86,74,58,85,59,80,442,980,GK,M\M,FC Porto,Spain,Liga NOS,1000
Yaya Touré,83,3,4,63,82,80,77,70,83,455,2191,CM,M\M,Manchester City,Côte d'Ivoire,Premier League,19750
Quaresma,83,5,4,83,76,81,87,18,60,405,1985,RM,H\M,Beşiktaş JK,Portugal,Süper Lig,2400
José Reina,83,1,3,80,83,82,82,50,82,459,942,GK,M\M,Napoli,Spain,Calcio A,1400
Daniele De Rossi,83,2,4,68,64,73,71,81,82,439,2150,CDM,M\H,Roma,Italy,Calcio A,4500
Nani,83,5,5,81,79,81,86,24,64,415,1988,LW,H\M,Lazio,Portugal,Calcio A,2900
Wesley Sneijder,83,3,5,69,78,86,82,38,56,409,2009,CAM,M\L,OGC Nice,Holland,Ligue 1 Conforama,1300
Javier Mascherano,83,2,3,65,53,71,70,82,77,418,2036,CB,M\H,FC Barcelona,Argentina,LaLiga Santander,1900
Santi Cazorla,83,4,5,65,76,85,85,61,63,435,2166,CM,H\L,Arsenal,Spain,Premier League,4900
Diego López,83,1,3,77,84,76,80,34,83,434,862,GK,M\M,RCD Espanyol,Spain,LaLiga Santander,1000
Juanfran,83,3,3,82,58,75,77,80,77,449,2097,RB,H\M,Atlético Madrid,Spain,LaLiga Santander,2700
Lucas Biglia,83,3,4,69,63,81,80,75,75,443,2157,CDM,M\H,Milan,Argentina,Calcio A,1900
Loïc Perrin,83,2,3,68,65,69,68,86,80,436,2076,CB,M\M,AS Saint-Étienne,France,Ligue 1 Conforama,3300
Borja Valero,83,4,4,70,69,85,85,63,65,437,2135,CAM,M\M,Inter,Spain,Calcio A,1800
Kasper Schmeichel,83,1,3,83,82,82,86,62,80,475,994,GK,M\M,Leicester City,Denmark,Premier League,9800
Antonio Valencia,83,3,1,87,65,75,81,78,85,471,2215,RB,H\H,Manchester United,Ecuador,Premier League,32000
Łukasz Piszczek,83,2,4,79,68,76,74,81,80,458,2168,RB,M\M,Borussia Dortmund,Poland,Bundesliga,4500
Kévin Gameiro,83,3,3,87,83,75,79,35,68,427,2087,ST,M\M,Atlético Madrid,France,LaLiga Santander,10500
Jonas,83,3,5,65,85,75,84,35,65,409,2050,ST,H\M,SL Benfica,Brazil,Liga NOS,900
Morgan Schneiderlin,83,2,3,68,62,76,77,79,81,443,2111,CDM,M\H,Everton,France,Premier League,2300
Yann Sommer,83,1,4,81,82,83,83,48,80,457,947,GK,M\M,Borussia Mönchengladbach,Switzerland,Bundesliga,1000
Rui Patrício,83,1,2,85,81,80,82,53,79,460,996,GK,M\M,Sporting CP,Portugal,Liga NOS,1000
Éver Banega,83,4,4,69,70,85,84,62,67,437,2123,CAM,M\M,Sevilla FC,Argentina,LaLiga Santander,1000
Benedikt Höwedes,83,2,3,64,47,63,65,83,77,399,1898,CB,M\M,Juventus,Germany,Calcio A,1400
Adam Lallana,83,4,5,73,75,80,84,65,74,451,2167,CM,H\H,Liverpool,England,Premier League,11000
Mario Mandžukić,83,3,3,72,78,71,74,65,87,447,2138,ST,H\H,Juventus,Croatia,Calcio A,1400
Nicolás Gaitán,83,4,2,81,74,81,84,39,55,414,2046,LM,M\M,Atlético Madrid,Argentina,LaLiga Santander,1500
Adrien Silva,83,3,4,65,76,82,81,78,72,454,2210,CM,M\H,Sporting CP,Portugal,Liga NOS,17000
José Callejón,83,3,2,90,78,71,83,34,65,421,2017,RW,H\H,Napoli,Spain,Calcio A,3800
Ömer Toprak,83,2,4,76,39,62,68,85,75,405,1885,CB,M\M,Borussia Dortmund,Turkey,Bundesliga,4300
Mateo Musacchio,83,2,3,70,51,66,59,84,78,408,1947,CB,M\M,Milan,Argentina,Calcio A,3200
Steven N'Zonzi,83,3,3,57,67,73,71,80,88,436,2049,CDM,M\M,Sevilla FC,France,LaLiga Santander,1700
Kyle Walker,83,2,2,90,63,73,76,80,81,463,2182,RB,H\M,Manchester City,England,Premier League,53000
Bas Dost,83,2,3,60,83,57,64,43,83,390,1823,ST,M\M,Sporting CP,Holland,Liga NOS,950
Giacomo Bonaventura,83,4,3,78,77,82,83,67,73,460,2219,CM,H\M,Milan,Italy,Calcio A,7000
Shinji Kagawa,83,4,4,70,68,76,86,34,49,383,1905,CAM,M\M,Borussia Dortmund,Japan,Bundesliga,1000
Javier Pastore,83,4,4,71,75,83,85,58,64,436,2094,CM,H\M,Paris Saint-Germain,Argentina,Ligue 1 Conforama,2900
Nemanja Matić,83,3,3,64,70,76,72,80,87,449,2147,CDM,M\H,Manchester United,Serbia,Premier League,14000
Nicolás Otamendi,83,2,3,63,56,59,56,83,81,398,1922,CB,H\H,Manchester City,Argentina,Premier League,3800
Iago Aspas,83,3,3,81,83,73,84,29,63,413,2023,ST,H\H,RC Celta,Spain,LaLiga Santander,1800
Idrissa Gueye,83,2,3,76,60,70,77,83,81,447,2078,CDM,M\H,Everton,Senegal,Premier League,9500
Joel Matip,83,2,2,67,46,68,67,84,78,410,1906,CB,M\M,Liverpool,Cameroon,Premier League,3300
Mattia Perin,83,1,3,80,85,71,90,57,78,461,900,GK,M\M,Genoa,Italy,Calcio A,950
Stefan de Vrij,83,2,4,68,41,58,66,85,76,394,1813,CB,M\H,Lazio,Holland,Calcio A,1600
Lopes,83,1,1,86,81,71,85,60,79,462,970,GK,M\M,Olympique Lyonnais,Portugal,Ligue 1 Conforama,1800
Vitolo,83,3,4,80,77,79,82,28,76,422,1988,LM,H\H,UD Las Palmas,Spain,LaLiga Santander,4100
Danilo Pereira,83,2,3,68,62,69,74,82,87,442,2055,CDM,M\H,FC Porto,Portugal,Liga NOS,1600
Roberto Firmino,83,4,4,77,81,79,85,46,77,445,2135,ST,H\H,Liverpool,Brazil,Premier League,20000
Virgil van Dijk,83,2,3,73,60,67,70,83,85,438,2035,CB,H\M,Southampton,Holland,Premier League,22000
Riyad Mahrez,83,5,4,82,74,78,87,28,55,404,1963,RM,M\M,Leicester City,Algeria,Premier League,4200
Samuel Umtiti,83,2,3,74,64,71,71,82,79,441,2117,CB,M\H,FC Barcelona,France,LaLiga Santander,15000
William Carvalho,83,3,4,53,57,77,74,80,83,424,2011,CDM,M\M,Sporting CP,Portugal,Liga NOS,900
Marquinhos,83,2,3,71,38,68,70,84,76,407,1901,CB,M\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,6400
Emil Forsberg,83,3,4,75,74,83,83,30,66,411,1973,CAM,H\M,RB Leipzig,Sweden,Bundesliga,2200
Andrea Belotti,83,3,5,82,81,57,78,29,84,411,1960,ST,H\H,Torino,Italy,Calcio A,10875
Mohamed Salah,83,4,2,93,73,74,86,45,66,437,2045,RW,H\M,Liverpool,Egypt,Premier League,30000
Fabinho,83,3,2,74,65,76,76,83,83,457,2147,CDM,M\M,AS Monaco Football Club SA,Brazil,Ligue 1 Conforama,4000
Ederson,83,1,3,81,76,82,87,64,78,468,974,GK,M\M,Manchester City,Brazil,Premier League,15000
Niklas Süle,83,2,3,65,41,51,50,83,81,371,1644,CB,M\M,FC Bayern München,Germany,Bundesliga,2500
João Mário,83,3,4,73,70,80,83,70,71,447,2138,CM,M\H,Inter,Portugal,Calcio A,5300
Thomas Lemar,83,3,2,85,77,80,86,62,70,460,2183,LM,H\M,AS Monaco Football Club SA,France,Ligue 1 Conforama,9000
Gerónimo Rulli,83,1,3,85,79,75,86,54,82,461,907,GK,M\M,Real Sociedad,Argentina,LaLiga Santander,1400
José María Giménez,83,2,3,70,45,51,54,85,81,386,1781,CB,M\H,Atlético Madrid,Uruguay,LaLiga Santander,4700
Naby Keïta,83,4,3,73,71,77,89,62,70,442,2075,CM,H\M,RB Leipzig,Guinea,Bundesliga,5000
Ousmane Dembélé,83,5,5,91,76,75,88,32,56,418,1997,RM,H\L,FC Barcelona,France,LaLiga Santander,65000
Kylian Mbappé,83,4,4,90,80,74,84,47,74,449,2088,ST,H\M,Paris Saint-Germain,France,Ligue 1 Conforama,155000
Rune Almenning Jarstein,82,1,4,78,81,72,85,40,87,443,837,GK,M\M,Hertha BSC,Norway,Bundesliga,900
Stephan Lichtsteiner,82,2,3,77,59,73,76,80,77,442,2138,RB,H\H,Juventus,Switzerland,Calcio A,1500
David Villa,82,4,5,69,83,74,82,31,69,408,2034,ST,H\L,New York City FC,Spain,Major League Soccer,1433
Fernandinho,82,3,4,73,73,76,77,77,78,454,2175,CDM,M\H,Manchester City,Brazil,Premier League,8750
Arda Turan,82,4,4,71,73,81,84,61,72,442,2172,CM,H\H,FC Barcelona,Turkey,LaLiga Santander,1700
Raffael,82,4,4,72,79,80,86,41,67,425,2076,CF,H\M,Borussia Mönchengladbach,Brazil,Bundesliga,800
Mario Gómez,82,2,4,72,82,62,73,28,78,395,1871,ST,H\M,VfL Wolfsburg,Germany,Bundesliga,950
Joe Hart,82,1,3,83,78,75,83,59,81,459,986,GK,M\M,West Ham United,England,Premier League,2650
Raúl Albiol,82,2,3,57,41,57,60,84,76,375,1774,CB,L\M,Napoli,Spain,Calcio A,1600
Benoît Costil,82,1,3,82,80,78,84,49,82,455,818,GK,M\M,FC Girondins de Bordeaux,France,Ligue 1 Conforama,1300
Moussa Dembélé,82,4,2,76,72,76,85,74,84,467,2192,CM,M\M,Tottenham Hotspur,Belgium,Premier League,31000
João Moutinho,82,3,4,69,75,81,81,70,72,448,2209,CM,H\M,AS Monaco Football Club SA,Portugal,Ligue 1 Conforama,1450
Andrea Consigli,82,1,3,82,83,72,84,48,81,450,830,GK,M\M,Sassuolo,Italy,Calcio A,850
Leighton Baines,82,3,3,70,71,80,79,80,71,451,2234,LB,H\M,Everton,England,Premier League,1700
Steve Mandanda,82,1,3,86,78,77,85,53,77,456,877,GK,M\M,Olympique de Marseille,France,Ligue 1 Conforama,1300
Samir Nasri,82,4,5,78,76,81,84,38,59,416,2008,LM,H\M,Antalyaspor,France,Süper Lig,1700
Gonzalo Castro,82,3,4,71,72,83,81,72,68,447,2179,CM,M\M,Borussia Dortmund,Germany,Bundesliga,2200
Emiliano Viviano,82,1,2,81,84,79,83,30,78,435,821,GK,M\M,Sampdoria,Italy,Calcio A,800
Carlos Vela,82,4,2,84,79,77,82,25,66,413,1989,RW,H\L,Real Sociedad,Mexico,LaLiga Santander,1500
Danny Rose,82,3,3,81,63,73,77,81,78,453,2135,LB,M\H,Tottenham Hotspur,England,Premier League,8500
Daniel Sturridge,82,4,2,76,82,69,79,25,68,399,1914,ST,M\L,Liverpool,England,Premier League,2700
Naldo,82,2,4,69,69,63,62,84,73,420,1973,CB,H\M,FC Schalke 04,Brazil,Bundesliga,3500
Asmir Begović,82,1,2,81,81,73,82,52,79,448,899,GK,M\M,Bournemouth,Bosnia and Herzegovina,Premier League,1800
Claudio Bravo,82,1,3,80,80,87,81,58,77,463,1119,GK,M\M,Manchester City,Chile,Premier League,1850
Lars Bender,82,2,3,68,64,73,73,82,79,439,2077,CDM,H\H,Bayer 04 Leverkusen,Germany,Bundesliga,800
Beñat,82,2,3,58,75,84,75,66,74,432,2120,CM,M\M,Athletic Club,Spain,LaLiga Santander,900
Javier Hernández,82,3,3,79,80,66,78,31,59,393,1940,ST,M\L,West Ham United,Mexico,Premier League,1300
Branislav Ivanović,82,2,3,62,61,68,62,83,83,419,2008,CB,H\M,Zenit St. Petersburg,Serbia,Russian Football Premier League,1050
Olivier Giroud,82,2,3,53,81,70,74,38,83,399,1962,ST,M\M,Arsenal,France,Premier League,1150
Georginio Wijnaldum,82,3,3,81,75,76,84,66,74,456,2192,CM,H\H,Liverpool,Holland,Premier League,16000
Vedran Ćorluka,82,3,3,58,51,67,67,82,82,407,1944,CB,H\M,Lokomotiv Moscow,Croatia,Russian Football Premier League,1200
Fernando Muslera,82,1,2,81,75,75,85,60,83,459,1034,GK,M\M,Galatasaray SK,Uruguay,Süper Lig,1000
Ljubomir Fejsa,82,2,3,53,57,66,68,81,85,410,1953,CDM,L\H,SL Benfica,Serbia,Liga NOS,800
Orestis Karnezis,82,1,3,80,83,70,84,44,80,441,837,GK,M\M,Watford,Greece,Premier League,800
Max Kruse,82,3,4,71,84,82,83,39,69,428,2093,CF,M\M,SV Werder Bremen,Germany,Bundesliga,850
Jordan Henderson,82,3,3,72,70,82,76,76,81,457,2212,CDM,H\H,Liverpool,England,Premier League,5400
