Name,Rating,SkillsMoves,WeakFoot,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Speed,Phyiscality/Positioning,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Dries Mertens,87,4,4,89,83,80,90,34,55,431,2085,CF,H\L,Napoli,Belgium,Serie A TIM,80233
Kalidou Koulibaly,87,2,3,72,26,46,60,88,86,378,1672,CB,H\H,Napoli,Senegal,Serie A TIM,45702
Marek Hamšik,87,3,5,70,80,84,84,72,69,459,2229,CM,H\M,Napoli,Slovakia,Serie A TIM,33199
Kylian Mbappe Lottin,87,5,4,96,81,79,89,39,72,456,2152,RW,H\M,Paris Saint-Germain,France,Ligue 1 Conforama,370129
Ciro Immobile,87,3,4,82,87,63,82,39,76,429,2038,ST,H\M,Lazio,Italy,Serie A TIM,56333
Mauro Icardi,87,3,4,78,85,61,79,36,72,411,1982,ST,M\L,Inter,Argentina,Serie A TIM,35464
Andrés Iniesta Luján,87,4,4,69,70,87,90,61,57,434,2114,CM,H\M,Vissel Kobe,Spain,Meiji Yasuda J1 League,10618
Douglas Costa,86,5,3,95,75,81,91,43,65,450,2141,LM,H\M,Juventus,Brazil,Serie A TIM,81995
Alex Sandro,86,3,3,85,65,77,81,82,83,473,2242,LB,H\H,Juventus,Brazil,Serie A TIM,81123
Leonardo Bonucci,86,2,3,61,58,69,71,87,80,426,2050,CB,L\H,Juventus,Italy,Serie A TIM,17862
Medhi Benatia,86,2,3,70,45,54,65,87,85,406,1850,CB,M\H,Juventus,Morocco,Serie A TIM,28026
Miralem Pjanic,86,3,4,66,70,86,86,73,69,450,2225,CM,M\M,Juventus,Bosnia and Herzegovina,Serie A TIM,16342
Nemanja Matic,86,3,3,56,71,79,76,83,83,448,2148,CDM,M\H,Manchester United,Serbia,Premier League,19180
Ederson,86,1,3,85,80,90,87,64,82,488,1105,GK,M\M,Manchester City,Brazil,Premier League,24140
Fernandinho,86,3,4,67,74,78,79,83,79,460,2215,CDM,M\H,Manchester City,Brazil,Premier League,28938
Leroy Sané,86,4,3,95,81,78,86,38,70,448,2116,LW,H\M,Manchester City,Germany,Premier League,131852
Nicolás Otamendi,86,2,3,60,57,63,61,86,80,407,1960,CB,H\H,Manchester City,Argentina,Premier League,12299
Azpilicueta,86,2,3,76,55,78,74,87,77,447,2151,CB,M\M,Chelsea,Spain,Premier League,51685
Jérôme Boateng,86,2,4,73,50,72,66,85,83,429,1997,CB,M\M,FC Bayern München,Germany,Bundesliga,74737
Thiago,86,5,3,73,74,84,89,67,63,450,2229,CM,M\M,FC Bayern München,Spain,Bundesliga,16754
Thomas Müller,86,3,4,74,83,80,78,50,71,436,2130,CF,H\H,FC Bayern München,Germany,Bundesliga,11023
Roberto Firmino,86,4,4,77,83,80,86,61,78,465,2230,CF,H\H,Liverpool,Brazil,Premier League,77798
Sadio Mané,86,4,4,94,80,76,87,42,73,452,2134,LW,H\M,Liverpool,Senegal,Premier League,114116
Mesut Özil,86,4,2,70,73,86,84,24,58,395,1938,CAM,M\L,Arsenal,Germany,Premier League,13189
Raphaël Varane,86,2,3,84,45,61,65,86,80,421,1927,CB,M\H,Real Madrid,France,LaLiga Santander,151783
Marco Verratti,86,4,4,65,60,84,89,79,66,443,2178,CM,M\H,Paris Saint-Germain,Italy,Ligue 1 Conforama,8431
Ivan Perišic,86,4,5,86,80,80,83,62,78,469,2245,LM,M\M,Inter,Croatia,Serie A TIM,44969
Naldo,86,2,4,63,69,64,62,87,74,419,1987,CB,M\M,FC Schalke 04,Brazil,Bundesliga,12384
Parejo,86,3,4,47,80,88,79,71,71,436,2165,CM,M\L,Valencia CF,Spain,LaLiga Santander,11229
Sami Khedira,85,2,4,57,76,80,78,81,83,455,2190,CM,H\H,Juventus,Germany,Serie A TIM,5587
Blaise Matuidi,85,2,2,78,68,77,79,83,83,468,2230,CDM,H\H,Juventus,France,Serie A TIM,54981
Marco Reus,85,4,4,85,86,82,86,44,64,447,2165,LM,M\M,Borussia Dortmund,Germany,Bundesliga,55011
Raheem Sterling,85,4,3,93,73,76,87,47,56,432,2022,RW,H\M,Manchester City,England,Premier League,45316
Vincent Kompany,85,2,3,56,54,65,66,85,81,407,1941,CB,M\H,Manchester City,Belgium,Premier League,6928
Riyad Mahrez,85,5,4,85,79,81,90,37,59,431,2065,RW,M\M,Manchester City,Algeria,Premier League,51561
Arturo Vidal,85,3,4,57,80,79,78,84,83,461,2288,CDM,M\M,FC Barcelona,Chile,LaLiga Santander,15960
Joshua Kimmich,85,3,4,73,68,83,82,77,73,456,2205,RB,H\L,FC Bayern München,Germany,Bundesliga,19214
Arjen Robben,85,4,2,79,85,81,88,32,62,427,2083,RM,H\L,FC Bayern München,Holland,Bundesliga,21031
Franck Ribéry,85,5,4,78,76,82,88,30,57,411,1988,LM,M\M,FC Bayern München,France,Bundesliga,6824
David Alaba,85,3,4,82,73,80,80,81,75,471,2289,LB,H\M,FC Bayern München,Austria,Bundesliga,61851
Virgil van Dijk,85,2,3,71,60,67,70,85,84,437,2053,CB,M\M,Liverpool,Holland,Premier League,96555
Fabinho,85,3,2,71,69,78,77,84,84,463,2206,CDM,M\M,Liverpool,Brazil,Premier League,59480
Alisson,85,1,3,82,81,85,88,54,83,473,963,GK,M\M,Liverpool,Brazil,Premier League,20089
Toby Alderweireld,85,2,3,62,57,72,66,88,78,423,2045,CB,M\M,Tottenham Hotspur,Belgium,Premier League,15420
Marco Asensio,85,4,3,81,84,83,85,43,60,436,2074,LW,M\M,Real Madrid,Spain,LaLiga Santander,27670
Yacine Brahimi,85,4,3,80,75,78,90,41,59,423,2065,LM,H\M,FC Porto,Algeria,Liga NOS,4744
Kostas Manolas,85,2,2,83,18,42,62,86,82,373,1672,CB,L\H,Roma,Greece,Serie A TIM,34747
Edin Džeko,85,2,5,66,85,71,75,46,73,416,1951,ST,M\M,Roma,Bosnia and Herzegovina,Serie A TIM,4650
Diego Costa,85,2,4,75,83,64,76,49,87,434,2031,ST,H\M,Atlético Madrid,Spain,LaLiga Santander,11503
Koke,85,3,4,69,75,88,82,69,78,461,2193,LM,H\H,Atlético Madrid,Spain,LaLiga Santander,5035
Saúl,85,3,4,70,77,79,82,78,76,462,2200,CM,M\H,Atlético Madrid,Spain,LaLiga Santander,22424
Filipe Luís,85,3,3,75,62,78,79,81,79,454,2184,LB,H\M,Atlético Madrid,Brazil,LaLiga Santander,13857
Sergej Milinkovic-Savic,85,4,4,69,79,80,82,77,84,471,2241,CM,H\M,Lazio,Serbia,Serie A TIM,31311
Falcao,85,3,4,67,84,69,78,43,74,415,2077,ST,H\M,AS Monaco Football Club SA,Colombia,Ligue 1 Conforama,4375
Miranda,85,2,3,68,49,60,69,88,76,410,1907,CB,M\H,Inter,Brazil,Serie A TIM,9959
Radja Nainggolan,85,3,3,75,79,78,82,83,83,480,2307,CM,H\H,Inter,Belgium,Serie A TIM,119977
Milan Škriniar,85,2,4,72,41,57,62,87,82,401,1825,CB,M\H,Inter,Slovakia,Serie A TIM,20329
Pepe,85,2,3,68,51,57,62,85,81,404,1864,CB,M\H,Beşiktaş JK,Portugal,Süper Lig,5364
Iago Aspas,85,3,3,81,86,77,86,35,65,430,2096,RW,H\H,RC Celta,Spain,LaLiga Santander,10071
Nabil Fekir,85,4,3,79,82,81,89,33,79,443,2129,CAM,H\M,Olympique Lyonnais,France,Ligue 1 Conforama,29194
Zlatan Ibrahimovic,85,5,4,59,86,77,79,34,78,413,2042,ST,M\L,LA Galaxy,Sweden,Major League Soccer,6051
Paulinho,85,3,3,73,81,77,81,79,84,475,2268,CM,H\H,Guangzhou Evergrande Taobao,Brazil,CSL,22471
Mario Mandžukic,84,3,3,70,78,71,75,66,85,445,2140,ST,H\H,Juventus,Croatia,Serie A TIM,2755
Andrea Barzagli,84,2,3,68,34,57,65,89,72,385,1808,CB,L\H,Juventus,Italy,Serie A TIM,5229
Mattia Perin,84,1,3,81,85,71,90,57,79,463,913,GK,M\M,Juventus,Italy,Serie A TIM,2845
Juan Cuadrado,84,5,3,91,74,77,87,66,69,464,2205,RM,H\M,Juventus,Colombia,Serie A TIM,20369
Wojciech Szczesny,84,1,3,85,81,71,87,51,82,457,926,GK,M\M,Juventus,Poland,Serie A TIM,2955
Bernardo Silva,84,4,3,78,72,83,89,46,58,426,2046,RW,H\M,Manchester City,Portugal,Premier League,3696
Ilkay Gündogan,84,4,4,68,74,83,84,69,70,448,2176,CM,H\M,Manchester City,Germany,Premier League,10510
Kyle Walker,84,2,2,90,63,75,77,81,80,466,2191,RB,H\H,Manchester City,England,Premier League,74703
Sergi Roberto,84,4,3,78,63,81,77,80,71,450,2104,RB,H\H,FC Barcelona,Spain,LaLiga Santander,3436
Luiz Frello Filho Jorge,84,4,3,72,64,84,82,69,71,442,2155,CM,M\M,Chelsea,Italy,Premier League,8479
Cesc Fàbregas,84,3,3,55,74,88,80,60,58,415,2089,CM,H\M,Chelsea,Spain,Premier League,4300
Willian,84,4,4,88,77,80,86,49,62,442,2072,RW,H\H,Chelsea,Brazil,Premier League,45552
Niklas Süle,84,2,3,67,41,52,50,83,82,375,1657,CB,M\M,FC Bayern München,Germany,Bundesliga,3353
Javi Martinez,84,2,3,51,55,70,65,86,83,410,1988,CDM,M\M,FC Bayern München,Spain,Bundesliga,2940
Moussa Dembélé,84,4,2,72,70,77,87,78,82,466,2199,CM,M\M,Tottenham Hotspur,Belgium,Premier League,28848
Heung Min Son,84,4,5,86,85,76,85,42,68,442,2097,LM,H\H,Tottenham Hotspur,Korea Republic,Premier League,68937
Dele Alli,84,4,3,75,81,78,82,65,78,459,2188,CAM,H\M,Tottenham Hotspur,England,Premier League,28528
Davinson Sánchez,84,2,3,76,45,55,67,84,82,409,1828,CB,M\H,Tottenham Hotspur,Colombia,Premier League,38886
Henrikh Mkhitaryan,84,4,5,82,78,79,85,52,69,445,2143,CAM,M\M,Arsenal,Armenia,Premier League,14932
Alexandre Lacazette,84,4,4,81,82,72,84,40,72,431,2089,ST,H\M,Arsenal,France,Premier League,21427
Sokratis,84,2,2,69,51,50,61,84,82,397,1843,CB,M\H,Arsenal,Greece,Premier League,7842
Bernd Leno,84,1,4,84,82,73,82,46,85,452,919,GK,M\M,Arsenal,Germany,Premier League,4784
Carvajal,84,3,3,82,45,73,79,82,78,439,2052,RB,H\M,Real Madrid,Spain,LaLiga Santander,8136
Karim Benzema,84,4,4,76,79,76,81,32,75,419,2005,ST,M\L,Real Madrid,France,LaLiga Santander,4984
Raúl Albiol,84,2,3,53,41,61,64,86,75,380,1804,CB,L\M,Napoli,Spain,Serie A TIM,2975
José Callejón,84,3,3,88,78,75,83,47,65,436,2073,RW,H\H,Napoli,Spain,Serie A TIM,7269
Alex Telles,84,3,2,85,71,83,80,80,77,476,2281,LB,H\M,FC Porto,Brazil,Liga NOS,12830
Marquinhos,84,2,3,75,38,69,68,85,76,411,1911,CB,M\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,7831
Ángel Di María,84,5,2,85,76,82,85,47,66,441,2145,RW,H\M,Paris Saint-Germain,Argentina,Ligue 1 Conforama,5502
José María Giménez,84,2,3,68,45,51,53,86,82,385,1774,CB,M\H,Atlético Madrid,Uruguay,LaLiga Santander,4176
Lukáš Hrádecký,84,1,3,85,79,68,88,38,82,440,778,GK,M\M,Bayer 04 Leverkusen,Finland,Bundesliga,2724
Illarramendi,84,4,3,61,71,80,79,70,72,433,2098,CM,M\H,Real Sociedad,Spain,LaLiga Santander,2909
Sergio Asenjo,84,1,3,85,83,77,84,59,82,470,986,GK,M\M,Villarreal CF,Spain,LaLiga Santander,3444
Jonas,84,3,5,64,86,77,84,38,65,414,2074,ST,H\M,SL Benfica,Brazil,Liga NOS,3505
Stefan de Vrij,84,2,4,68,41,60,67,86,76,398,1838,CB,M\H,Inter,Holland,Serie A TIM,3876
Quaresma,84,5,4,83,74,82,88,24,62,413,2012,RM,H\L,Beşiktaş JK,Portugal,Süper Lig,3633
Kasper Schmeichel,84,1,3,83,77,82,88,60,80,470,1010,GK,M\M,Leicester City,Denmark,Premier League,4029
Lopes,84,1,2,86,80,74,87,63,81,471,1010,GK,M\M,Olympique Lyonnais,Portugal,Ligue 1 Conforama,2558
William Carvalho,84,3,4,51,55,79,76,82,84,427,2028,CDM,M\M,Real Betis,Portugal,LaLiga Santander,2840
Neto,84,1,2,86,84,79,82,53,78,462,956,GK,M\M,Valencia CF,Brazil,LaLiga Santander,5795
Rodrigo,84,4,3,90,81,73,82,44,71,441,2110,ST,H\M,Valencia CF,Spain,LaLiga Santander,22246
Dimitri Payet,84,4,4,73,77,85,85,38,68,426,2067,CAM,H\L,Olympique de Marseille,France,Ligue 1 Conforama,5485
Florian Thauvin,84,4,3,83,80,81,84,42,69,439,2106,RM,H\M,Olympique de Marseille,France,Ligue 1 Conforama,4055
Alejandro Gómez,84,4,4,90,76,81,88,39,57,431,2087,CF,H\M,Atalanta,Argentina,Serie A TIM,17197
Stéphane Ruffier,84,1,3,82,84,77,82,45,85,455,910,GK,M\M,AS Saint-Étienne,France,Ligue 1 Conforama,2678
Shinji Kagawa,83,4,4,68,69,78,86,54,49,404,2007,CAM,H\M,Borussia Dortmund,Japan,Bundesliga,1395
Anthony Martial,83,4,3,89,81,73,86,42,72,443,2088,LW,M\M,Manchester United,France,Premier League,45848
Juan Mata,83,4,3,65,76,84,85,37,50,397,2023,RM,M\M,Manchester United,Spain,Premier League,2500
Aymeric Laporte,83,2,3,65,50,67,62,85,76,405,1927,CB,M\M,Manchester City,France,Premier League,3491
Gabriel Jesus,83,4,3,86,80,72,86,39,73,436,2085,ST,H\H,Manchester City,Brazil,Premier League,56149
Malcom,83,4,4,84,79,81,85,27,64,420,2011,RW,M\M,FC Barcelona,Brazil,LaLiga Santander,8042
Mateo Kovacic,83,4,4,79,69,82,86,69,72,457,2150,CM,H\H,Chelsea,Croatia,Premier League,10375
Morata,83,3,4,82,79,71,79,31,71,413,1945,ST,H\H,Chelsea,Spain,Premier League,6270
David Luiz,83,3,3,61,65,73,71,82,77,429,2097,CB,M\M,Chelsea,Brazil,Premier League,6747
Kepa Arrizabalaga,83,1,4,84,80,76,84,34,80,438,882,GK,M\M,Chelsea,Spain,Premier League,2968
Kingsley Coman,83,5,3,94,76,75,85,25,60,415,1972,LM,M\L,FC Bayern München,France,Bundesliga,13481
Leon Goretzka,83,3,4,83,74,80,81,77,76,471,2231,CM,H\H,FC Bayern München,Germany,Bundesliga,46698
Corentin Tolisso,83,3,3,70,77,79,78,76,81,461,2226,CM,H\M,FC Bayern München,France,Bundesliga,10708
Naby Keïta,83,4,4,68,73,78,87,64,68,438,2102,CM,H\M,Liverpool,Guinea,Premier League,6247
Nacho Fernández,83,2,4,74,37,66,65,81,79,402,1876,CB,M\H,Real Madrid,Spain,LaLiga Santander,3131
Lucas Vázquez,83,4,4,81,75,82,82,46,67,433,2065,RW,H\H,Real Madrid,Spain,LaLiga Santander,2131
Jordan Pickford,83,1,4,83,77,88,86,53,80,467,1071,GK,M\M,Everton,England,Premier League,2279
José Reina,83,1,3,80,83,82,82,50,82,459,954,GK,M\M,Milan,Spain,Serie A TIM,1479
Samu Castillejo,83,4,2,86,75,81,83,43,52,420,1981,RM,M\H,Milan,Spain,Serie A TIM,2182
Bruno Fernandes,83,4,3,78,80,84,83,62,72,459,2230,CAM,H\M,Sporting CP,Portugal,Liga NOS,1429
Bas Dost,83,2,3,52,83,57,66,45,83,386,1822,ST,M\M,Sporting CP,Holland,Liga NOS,1798
Emiliano Viviano,83,1,2,83,84,79,85,30,81,442,830,GK,M\M,Sporting CP,Italy,Liga NOS,1610
Danilo Pereira,83,3,3,66,64,70,74,82,86,442,2054,CDM,M\H,FC Porto,Portugal,Liga NOS,1656
Felipe,83,2,3,64,41,58,60,83,85,391,1813,CB,M\H,FC Porto,Brazil,Liga NOS,1863
Daniele De Rossi,83,2,4,65,63,73,70,85,80,436,2139,CDM,M\H,Roma,Italy,Serie A TIM,1896
Presnel Kimpembe,83,3,3,77,39,67,68,82,83,416,1926,CB,H\H,Paris Saint-Germain,France,Ligue 1 Conforama,17042
Julian Draxler,83,4,5,77,80,82,86,55,64,444,2145,CM,M\M,Paris Saint-Germain,Germany,Ligue 1 Conforama,3918
Adrien Rabiot,83,3,3,74,74,79,80,77,79,463,2214,CM,H\M,Paris Saint-Germain,France,Ligue 1 Conforama,5660
Adán,83,1,2,81,84,78,83,56,84,466,955,GK,M\M,Atlético Madrid,Spain,LaLiga Santander,1955
Thomas Lemar,83,4,2,85,76,83,85,59,67,455,2193,LM,H\M,Atlético Madrid,France,LaLiga Santander,17989
Stefan Savic,83,2,3,58,35,54,58,84,74,363,1705,CB,M\H,Atlético Madrid,Montenegro,LaLiga Santander,1592
Lucas Leiva,83,3,3,67,66,76,78,82,75,444,2147,CDM,M\H,Lazio,Brazil,Serie A TIM,4100
Jonathan Tah,83,2,4,71,27,58,59,83,81,379,1694,CB,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,2508
Willian José,83,4,4,64,83,66,77,40,80,410,1956,ST,M\L,Real Sociedad,Brazil,LaLiga Santander,2135
Quincy Promes,83,5,4,90,83,78,83,32,67,433,2066,LM,H\L,Sevilla FC,Holland,LaLiga Santander,35996
Éver Banega,83,4,4,66,70,86,83,69,68,442,2143,CAM,M\M,Sevilla FC,Argentina,LaLiga Santander,1490
Manu Trigueros,83,4,4,70,74,81,81,70,69,445,2160,CM,M\M,Villarreal CF,Spain,LaLiga Santander,2245
Gerard Moreno,83,4,4,79,81,66,78,45,69,418,1979,ST,H\M,Villarreal CF,Spain,LaLiga Santander,1532
Pizzi,83,3,4,77,76,82,81,64,69,449,2174,CM,H\M,SL Benfica,Portugal,Liga NOS,1993
Kamil Glik,83,2,2,51,32,44,54,83,84,348,1619,CB,L\M,AS Monaco Football Club SA,Poland,Ligue 1 Conforama,2291
Danijel Subašic,83,1,2,82,80,79,84,51,82,458,942,GK,M\M,AS Monaco Football Club SA,Croatia,Ligue 1 Conforama,1644
Oliver Baumann,83,1,3,82,82,70,85,47,82,448,873,GK,M\M,TSG 1899 Hoffenheim,Germany,Bundesliga,1348
Aduriz,83,3,3,67,82,64,75,50,81,419,2026,ST,H\M,Athletic Club,Spain,LaLiga Santander,1640
Memphis Depay,83,5,3,88,81,78,83,33,79,442,2103,ST,H\L,Olympique Lyonnais,Holland,Ligue 1 Conforama,18789
Timo Werner,83,3,4,93,79,67,82,35,67,423,1991,ST,H\M,RB Leipzig,Germany,Bundesliga,21649
Kevin Strootman,83,3,3,66,72,81,77,79,80,455,2183,CM,M\H,Olympique de Marseille,Holland,Ligue 1 Conforama,1851
Luiz Gustavo,83,3,3,64,60,71,70,82,83,430,2052,CDM,M\H,Olympique de Marseille,Brazil,Ligue 1 Conforama,2018
Steve Mandanda,83,1,3,86,81,70,84,53,79,453,882,GK,M\M,Olympique de Marseille,France,Ligue 1 Conforama,1401
Mario Balotelli,83,4,4,79,84,73,79,24,77,416,1983,ST,M\L,OGC Nice,Italy,Ligue 1 Conforama,1849
Timo Horn,83,1,3,83,80,83,86,45,82,459,867,GK,M\M,1. FC Köln,Germany,Bundesliga 2,1353
Rui Patrício,83,1,2,85,81,80,82,53,79,460,1011,GK,M\M,Wolverhampton Wanderers,Portugal,Premier League,2021
Giuliano,83,4,3,82,78,79,84,46,75,444,2098,CAM,H\M,Al Nassr,Brazil,Saudi Professional League,1711
Yannick Carrasco,83,4,4,88,79,75,86,41,64,433,2041,LM,H\M,Dalian Yifang FC,Belgium,CSL,2764
Daniele Rugani,82,2,3,62,39,53,64,85,75,378,1745,CB,L\M,Juventus,Italy,Serie A TIM,1095
Federico Bernardeschi,82,5,3,83,75,80,85,56,64,443,2108,RM,H\M,Juventus,Italy,Serie A TIM,1714
Mario Götze,82,4,4,69,73,83,86,59,67,437,2137,CM,M\M,Borussia Dortmund,Germany,Bundesliga,1526
Axel Witsel,82,4,4,71,74,77,79,75,82,458,2194,CM,M\M,Borussia Dortmund,Belgium,Bundesliga,6153
Ömer Toprak,82,2,4,78,37,63,67,83,74,402,1857,CB,M\M,Borussia Dortmund,Turkey,Bundesliga,1711
Antonio Valencia,82,3,2,85,67,76,80,79,79,466,2179,RB,H\H,Manchester United,Ecuador,Premier League,35981
Jesse Lingard,82,4,3,81,78,76,84,56,68,443,2124,CAM,H\H,Manchester United,England,Premier League,7747
Fred,82,4,4,79,74,77,82,75,71,458,2200,CM,H\H,Manchester United,Brazil,Premier League,26502
Eric Bailly,82,2,3,74,42,59,66,82,82,405,1883,CB,M\H,Manchester United,Côte d'Ivoire,Premier League,17513
Ander Herrera,82,3,4,71,72,79,80,78,76,456,2209,CM,H\H,Manchester United,Spain,Premier League,4887
John Stones,82,3,4,69,36,69,71,83,78,406,1869,CB,H\M,Manchester City,England,Premier League,2554
Clément Lenglet,82,2,4,73,35,59,67,83,78,395,1803,CB,M\H,FC Barcelona,France,LaLiga Santander,2932
Rafinha,82,4,4,70,76,79,84,69,62,440,2119,CAM,H\H,FC Barcelona,Brazil,LaLiga Santander,1940
Ousmane Dembélé,82,4,5,89,75,76,87,36,55,418,2001,RW,H\L,FC Barcelona,France,LaLiga Santander,1141
Marcos Alonso,82,3,3,73,73,78,77,80,79,460,2199,LB,H\H,Chelsea,Spain,Premier League,6941
Pedro,82,4,5,76,77,77,83,43,56,412,1991,RW,H\H,Chelsea,Spain,Premier League,1650
